J23100,J23101,J23103,J23105
1,0.00001410598236,0.8085076522,1.934105734
1,0.00004977573409,0.3702131446,0.1951898445
1,24.63633849,0.3649585438,1.765361274
1,45.96685733,3.203860998,1.262242752
1,0.00009524940345,2.915296468,
,,0.3169471603,
